LOCATION ACCOUNT #,names,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,zip,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000000115-0001-3,VINCENZO LABELLA,,521 SWARTHMORE AVENUE,PACIFIC PALISADES,90272-4350,90001,521 SWARTHMORE 90272-4350,521 SWARTHMORE AVENUE,PACIFIC PALISADES,90272-4350,561500,Travel arrangement & reservation services,11,1/1/1990,,
0000000150-0001-5,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,2015 W TEMPLE STREET,LOS ANGELES,90026-4913,90002,2015 TEMPLE 90026-4913,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",13,1/1/1991,,
0000000156-0001-2,SPRINGBOARD NON-PROFIT CONSUMER CREDIT MANAGEMENT,MONEY MANAGEMENT INTERNATIONAL,1605 W OLYMPIC BLVD #9023,LOS ANGELES,90015-3828,90003,1605 OLYMPIC 90015-3828,,,,523900,Other financial investment activities (including investment advice),1,2/1/1999,,
0000000225-0001-5,STRATEGIC CONCEPTS IN ORGANIZING AND POLICY EDUCATION /C,,1715 W FLORENCE AVENUE,LOS ANGELES,90047-2220,90004,1715 FLORENCE 90047-2220,,,,611000,"Educational services (including schools, colleges, & universities)",8,6/3/1997,,
0000000247-0001-1,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,3806 W PICO BLVD,LOS ANGELES,90019-4304,90005,3806 PICO 90019-4304,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",10,1/1/1991,,
0000000267-0001-9,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,3115 VENICE BLVD,LOS ANGELES,90019-6238,90006,3115 VENICE 90019-6238,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",10,1/1/1991,,
0000000282-0001-3,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,2601 W PICO BLVD #2,LOS ANGELES,90006-3901,90007,2601 PICO 90006-3901,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",1,1/1/1991,,
0000000327-0001-2,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,4151 BEVERLY BLVD,LOS ANGELES,90004-4461,90008,4151 BEVERLY 90004-4461,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",13,1/1/1991,,
0000000328-0001-7,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,3049 W 8TH STREET #763,LOS ANGELES,90005-1873,90010,3049 8TH 90005-1873,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",10,1/1/1991,,
0000000350-0001-1,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,1150 VENICE BLVD,LOS ANGELES,90015-3214,90011,1150 VENICE 90015-3214,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",1,1/1/1991,,
